entidad,relacion,objetos,pregunta,respuestas,obtenido_de,respuestas_aliases
Escuela Preparatoria W. T. White,distrito escolar,['Distrito Escolar Independiente de Dallas'],Contesta la siguiente pregunta: ¿A qué distrito escolar pertenece Escuela Preparatoria W. T. White?,['Distrito Escolar Independiente de Dallas'],['honduras'],"[['DISD', 'Dallas ISD', 'Distrito escolar independiente de dallas']]"
Escuela Secundaria Coral Gables,distrito escolar,['Escuelas Públicas del Condado de Miami-Dade'],Contesta la siguiente pregunta: ¿A qué distrito escolar pertenece Escuela Secundaria Coral Gables?,['Escuelas Públicas del Condado de Miami-Dade'],['cuba'],[['Escuelas Publicas del Condado de Miami-Dade']]
Escuela Secundaria Mayor de Miami Beach,distrito escolar,['Escuelas Públicas del Condado de Miami-Dade'],Contesta la siguiente pregunta: ¿A qué distrito escolar pertenece Escuela Secundaria Mayor de Miami Beach?,['Escuelas Públicas del Condado de Miami-Dade'],['cuba'],[['Escuelas Publicas del Condado de Miami-Dade']]
Escuela secundaria Thomas Richard Robinson,distrito escolar,['Escuelas Públicas del Condado de Hillsborough'],Contesta la siguiente pregunta: ¿A qué distrito escolar pertenece Escuela secundaria Thomas Richard Robinson?,['Escuelas Públicas del Condado de Hillsborough'],['honduras'],"[['Escuelas Publicas del Condado de Hillsborough', 'Hillsborough County Public Schools', 'School District of Hillsborough County']]"
Narbonne High School,distrito escolar,['Distrito Escolar Unificado de Los Ángeles'],Contesta la siguiente pregunta: ¿A qué distrito escolar pertenece Narbonne High School?,['Distrito Escolar Unificado de Los Ángeles'],['usa'],"[['Distrito Escolar Unificado de Los Angeles', 'LAUSD', 'Los Angeles Unified School District', 'Los Angeles USD']]"
Academia Nacional de Educación,industria,['educación superior'],Contesta la siguiente pregunta: ¿A qué industria pertenece la entidad Academia Nacional de Educación?,['educación superior'],['colombia'],"[['carrera de ciclo largo', 'carrera media', 'educacion superior', 'enseñanza superior', 'estudios superiores', 'titulacion superior', 'titulación superior', 'titulacion superior universitaria', 'titulación superior universitaria', 'titulacion universitaria superior', 'titulación universitaria superior']]"
Academia Nicaragüense de la Lengua,industria,['educación superior'],Contesta la siguiente pregunta: ¿A qué industria pertenece la entidad Academia Nicaragüense de la Lengua?,['educación superior'],['chile'],"[['carrera de ciclo largo', 'carrera media', 'educacion superior', 'enseñanza superior', 'estudios superiores', 'titulacion superior', 'titulación superior', 'titulacion superior universitaria', 'titulación superior universitaria', 'titulacion universitaria superior', 'titulación universitaria superior']]"
Babson College,industria,['educación superior'],Contesta la siguiente pregunta: ¿A qué industria pertenece la entidad Babson College?,['educación superior'],['republica_dominicana'],"[['carrera de ciclo largo', 'carrera media', 'educacion superior', 'enseñanza superior', 'estudios superiores', 'titulacion superior', 'titulación superior', 'titulacion superior universitaria', 'titulación superior universitaria', 'titulacion universitaria superior', 'titulación universitaria superior']]"
Consejo Mundial de Lucha Libre,industria,['lucha libre profesional'],Contesta la siguiente pregunta: ¿A qué industria pertenece la entidad Consejo Mundial de Lucha Libre?,['lucha libre profesional'],['costa_rica'],"[['catch', 'lucha Profesional', 'pressing catch', 'professional wrestling', 'telecatch', 'wrestling']]"
Instituto de Arte de Kansas City,industria,['educación superior'],Contesta la siguiente pregunta: ¿A qué industria pertenece la entidad Instituto de Arte de Kansas City?,['educación superior'],['usa'],"[['carrera de ciclo largo', 'carrera media', 'educacion superior', 'enseñanza superior', 'estudios superiores', 'titulacion superior', 'titulación superior', 'titulacion superior universitaria', 'titulación superior universitaria', 'titulacion universitaria superior', 'titulación universitaria superior']]"
Middlebury College,industria,['educación superior'],Contesta la siguiente pregunta: ¿A qué industria pertenece la entidad Middlebury College?,['educación superior'],['cuba'],"[['carrera de ciclo largo', 'carrera media', 'educacion superior', 'enseñanza superior', 'estudios superiores', 'titulacion superior', 'titulación superior', 'titulacion superior universitaria', 'titulación superior universitaria', 'titulacion universitaria superior', 'titulación universitaria superior']]"
Sociedad de Geografía de París,industria,['otras organizaciones funcionando por adhesión voluntaria'],Contesta la siguiente pregunta: ¿A qué industria pertenece la entidad Sociedad de Geografía de París?,['otras organizaciones funcionando por adhesión voluntaria'],['guatemala'],[[]]
Telecorporación Salvadoreña,industria,['medio de comunicación de masas'],Contesta la siguiente pregunta: ¿A qué industria pertenece la entidad Telecorporación Salvadoreña?,['medio de comunicación de masas'],['el_salvador'],"[['medio de comunicacion de masas', 'medio de comunicacion masivo', 'medio de comunicación masivo', 'medios de comunicacion de masa', 'medios de comunicación de masa']]"
US West,industria,['telecomunicación'],Contesta la siguiente pregunta: ¿A qué industria pertenece la entidad US West?,['telecomunicación'],['usa'],[[]]
Universidad Marymount Manhattan,industria,['educación superior'],Contesta la siguiente pregunta: ¿A qué industria pertenece la entidad Universidad Marymount Manhattan?,['educación superior'],['el_salvador'],"[['carrera de ciclo largo', 'carrera media', 'educacion superior', 'enseñanza superior', 'estudios superiores', 'titulacion superior', 'titulación superior', 'titulacion superior universitaria', 'titulación superior universitaria', 'titulacion universitaria superior', 'titulación universitaria superior']]"
Universidad de Georgetown,industria,['educación superior'],Contesta la siguiente pregunta: ¿A qué industria pertenece la entidad Universidad de Georgetown?,['educación superior'],['colombia'],"[['carrera de ciclo largo', 'carrera media', 'educacion superior', 'enseñanza superior', 'estudios superiores', 'titulacion superior', 'titulación superior', 'titulacion superior universitaria', 'titulación superior universitaria', 'titulacion universitaria superior', 'titulación universitaria superior']]"
Craighouse School,afiliación,['Programa del Diploma del Bachillerato Internacional'],Contesta la siguiente pregunta: ¿A qué institución o grupo está afiliado Craighouse School?,['Programa del Diploma del Bachillerato Internacional'],['chile'],[[]]
Edmund A. Walsh School of Foreign Service,afiliación,['Association of Professional Schools of International Affairs'],Contesta la siguiente pregunta: ¿A qué institución o grupo está afiliado Edmund A. Walsh School of Foreign Service?,['Association of Professional Schools of International Affairs'],['costa_rica'],[['APSIA']]
Heroico Colegio Militar,afiliación,['Secretaría de la Defensa Nacional'],Contesta la siguiente pregunta: ¿A qué institución o grupo está afiliado Heroico Colegio Militar?,['Secretaría de la Defensa Nacional'],['mexico'],"[['Defensa', 'SDN', 'Secretaría de la Defensa Nacional de México']]"
Alcalde Metropolitano de Quito,aplica a la jurisdicción,['Distrito Metropolitano de Quito'],Contesta la siguiente pregunta: ¿A qué jurisdicción aplica Alcalde Metropolitano de Quito?,['Distrito Metropolitano de Quito'],['colombia'],"[['Quito', 'Canton Quito', 'Cantón Quito', 'DMQ', 'Quito DM']]"
Alcalde de Guatemala,aplica a la jurisdicción,['Ciudad de Guatemala'],Contesta la siguiente pregunta: ¿A qué jurisdicción aplica Alcalde de Guatemala?,['Ciudad de Guatemala'],['guatemala'],"[['Guatemala', 'Guate', 'Nueva Guatemala de la Asunción']]"
Alcalde de San José,aplica a la jurisdicción,['San José'],Contesta la siguiente pregunta: ¿A qué jurisdicción aplica Alcalde de San José?,['San José'],['costa_rica'],"[['San Jose', 'Ciudad de San José', 'Pueblo de San Jose de Guadalupe', 'Pueblo de San José de Guadalupe', 'San José (California)']]"
Alcalde de San Salvador,aplica a la jurisdicción,['San Salvador'],Contesta la siguiente pregunta: ¿A qué jurisdicción aplica Alcalde de San Salvador?,['San Salvador'],['el_salvador'],[[]]
Alcalde,aplica a la jurisdicción,['cantón de Ecuador'],Contesta la siguiente pregunta: ¿A qué jurisdicción aplica Alcalde?,['cantón de Ecuador'],['ecuador'],"[['canton de Ecuador', 'canton ecuatoriano', 'cantón ecuatoriano', 'Cantones de Ecuador', 'Cantones del Ecuador']]"
Asamblea Nacional de Nicaragua,aplica a la jurisdicción,['Nicaragua'],Contesta la siguiente pregunta: ¿A qué jurisdicción aplica Asamblea Nacional de Nicaragua?,['Nicaragua'],['nicaragua'],"[['Republica de Nicaragua', 'República de Nicaragua', 'Salve a ti, Nicaragua']]"
Cancilleres de Costa Rica,aplica a la jurisdicción,['Costa Rica'],Contesta la siguiente pregunta: ¿A qué jurisdicción aplica Cancilleres de Costa Rica?,['Costa Rica'],['costa_rica'],"[['CRC', 'CR', 'República de Costa Rica']]"
Director de la Escuela Nacional de Artes Gráficas,aplica a la jurisdicción,['Escuela Nacional de Artes Gráficas'],Contesta la siguiente pregunta: ¿A qué jurisdicción aplica Director de la Escuela Nacional de Artes Gráficas?,['Escuela Nacional de Artes Gráficas'],['el_salvador'],"[['Escuela de Artes Gráficas', 'Escuela Nacional de Artes Gráficas de El Salvador']]"
Director supremo de las Provincias Unidas del Río de la Plata,aplica a la jurisdicción,['Provincias Unidas del Río de la Plata'],Contesta la siguiente pregunta: ¿A qué jurisdicción aplica Director supremo de las Provincias Unidas del Río de la Plata?,['Provincias Unidas del Río de la Plata'],['argentina'],"[['Provincias Unidas', 'Provincias del Rio de la Plata', 'Provincias del Río de la Plata', 'Provincias Unidas del Rio de la Plata', 'Provincias Unidas del Sud']]"
Gobernador de Antioquia,aplica a la jurisdicción,['Antioquia'],Contesta la siguiente pregunta: ¿A qué jurisdicción aplica Gobernador de Antioquia?,['Antioquia'],['colombia'],"[['Departamento de Antioquia', 'Departamento del Antioquia', 'Region paisa', 'Región paisa']]"
Gobernador de Cesar,aplica a la jurisdicción,['Cesar'],Contesta la siguiente pregunta: ¿A qué jurisdicción aplica Gobernador de Cesar?,['Cesar'],['colombia'],[['Cesar']]
Gobernador del Departamento de Ahuachapán,aplica a la jurisdicción,['Departamento de Ahuachapán'],Contesta la siguiente pregunta: ¿A qué jurisdicción aplica Gobernador del Departamento de Ahuachapán?,['Departamento de Ahuachapán'],['el_salvador'],[['Ahuachapán']]
Gobernador del Departamento de Usulután,aplica a la jurisdicción,['Departamento de Usulután'],Contesta la siguiente pregunta: ¿A qué jurisdicción aplica Gobernador del Departamento de Usulután?,['Departamento de Usulután'],['el_salvador'],[['Usulután']]
Junta Militar,aplica a la jurisdicción,['Argentina'],Contesta la siguiente pregunta: ¿A qué jurisdicción aplica Junta Militar?,['Argentina'],['argentina'],"[['República Argentina', 'Nación Argentina']]"
Miembro De La Cámara De Diputados De La República Dominicana,aplica a la jurisdicción,['República Dominicana'],Contesta la siguiente pregunta: ¿A qué jurisdicción aplica Miembro De La Cámara De Diputados De La República Dominicana?,['República Dominicana'],['republica_dominicana'],[['Republica Dominicana']]
Ministerio de Relaciones Exteriores de Colombia,aplica a la jurisdicción,['Colombia'],Contesta la siguiente pregunta: ¿A qué jurisdicción aplica Ministerio de Relaciones Exteriores de Colombia?,['Colombia'],['colombia'],"[['República de Colombia', '🇨🇴']]"
Ministerio de Relaciones Exteriores de Guatemala,aplica a la jurisdicción,['Guatemala'],Contesta la siguiente pregunta: ¿A qué jurisdicción aplica Ministerio de Relaciones Exteriores de Guatemala?,['Guatemala'],['guatemala'],[['República de Guatemala']]
Ministerio de Salud de Costa Rica,aplica a la jurisdicción,['Costa Rica'],Contesta la siguiente pregunta: ¿A qué jurisdicción aplica Ministerio de Salud de Costa Rica?,['Costa Rica'],['costa_rica'],"[['CRC', 'CR', 'República de Costa Rica']]"
Ministra de la Mujer y Poblaciones Vulnerables de Perú,aplica a la jurisdicción,['Perú'],Contesta la siguiente pregunta: ¿A qué jurisdicción aplica Ministra de la Mujer y Poblaciones Vulnerables de Perú?,['Perú'],['peru'],"[['pe', 'Peru', '🇵🇪', 'Republica del Peru', 'República del Perú']]"
"Ministro de Agricultura, Ganadería y Alimentación de Guatemala",aplica a la jurisdicción,['Guatemala'],"Contesta la siguiente pregunta: ¿A qué jurisdicción aplica Ministro de Agricultura, Ganadería y Alimentación de Guatemala?",['Guatemala'],['guatemala'],[['República de Guatemala']]
Ministro de Ambiente y Recursos Naturales de Guatemala,aplica a la jurisdicción,['Guatemala'],Contesta la siguiente pregunta: ¿A qué jurisdicción aplica Ministro de Ambiente y Recursos Naturales de Guatemala?,['Guatemala'],['guatemala'],[['República de Guatemala']]
"Ministro de Comunicaciones, Infraestructura y Vivienda",aplica a la jurisdicción,['Guatemala'],"Contesta la siguiente pregunta: ¿A qué jurisdicción aplica Ministro de Comunicaciones, Infraestructura y Vivienda?",['Guatemala'],['guatemala'],[['República de Guatemala']]
Ministro de Cultura de Colombia,aplica a la jurisdicción,['Colombia'],Contesta la siguiente pregunta: ¿A qué jurisdicción aplica Ministro de Cultura de Colombia?,['Colombia'],['colombia'],"[['República de Colombia', '🇨🇴']]"
Ministro de Desarrollo Social de Guatemala,aplica a la jurisdicción,['Guatemala'],Contesta la siguiente pregunta: ¿A qué jurisdicción aplica Ministro de Desarrollo Social de Guatemala?,['Guatemala'],['guatemala'],[['República de Guatemala']]
Ministro de Educación de Guatemala,aplica a la jurisdicción,['Guatemala'],Contesta la siguiente pregunta: ¿A qué jurisdicción aplica Ministro de Educación de Guatemala?,['Guatemala'],['guatemala'],[['República de Guatemala']]
Ministro de Finanzas Públicas,aplica a la jurisdicción,['Guatemala'],Contesta la siguiente pregunta: ¿A qué jurisdicción aplica Ministro de Finanzas Públicas?,['Guatemala'],['guatemala'],[['República de Guatemala']]
Ministro de Gobernación de Guatemala,aplica a la jurisdicción,['Guatemala'],Contesta la siguiente pregunta: ¿A qué jurisdicción aplica Ministro de Gobernación de Guatemala?,['Guatemala'],['guatemala'],[['República de Guatemala']]
Ministro de Instrucción Pública,aplica a la jurisdicción,['El Salvador'],Contesta la siguiente pregunta: ¿A qué jurisdicción aplica Ministro de Instrucción Pública?,['El Salvador'],['el_salvador'],[['República de El Salvador']]
Ministro de Relaciones Exteriores de Panamá,aplica a la jurisdicción,['Panamá'],Contesta la siguiente pregunta: ¿A qué jurisdicción aplica Ministro de Relaciones Exteriores de Panamá?,['Panamá'],['panama'],[['República de Panamá']]
Ministro de Relaciones Exteriores,aplica a la jurisdicción,['Honduras'],Contesta la siguiente pregunta: ¿A qué jurisdicción aplica Ministro de Relaciones Exteriores?,['Honduras'],['honduras'],"[['Higueras', 'Guaymuras', 'República de Honduras']]"
Ministro de Salud Pública y Asistencia Social,aplica a la jurisdicción,['Guatemala'],Contesta la siguiente pregunta: ¿A qué jurisdicción aplica Ministro de Salud Pública y Asistencia Social?,['Guatemala'],['guatemala'],[['República de Guatemala']]
